Roll,Name,Email,Branch
1401AI15,Amit,Amit@mycollege.in,AI
1401CB15,Nisha,Nisha@mycollege.in,CB
1401CE15,Jyoti,Jyoti@mycollege.in,CE
1401CH15,Muskaan,Muskaan@mycollege.in,CH
1401CS15,Aayushi,Aayushi@mycollege.in,CS
1401CT15,Varsha,Varsha@mycollege.in,CT
1401EC15,Prakhyat,Prakhyat@mycollege.in,EC
1401MC14,Lalit,Lalit@mycollege.in,MC
1401MM14,Chandran,Chandran@mycollege.in,MM
1401MT14,Elamathi,Elamathi@mycollege.in,MT
1401AI16,Saumya,Saumya@mycollege.in,AI
1401CB16,Arun,Arun@mycollege.in,CB
1401CE16,Parul,Parul@mycollege.in,CE
1401CH16,Divyansh,Divyansh@mycollege.in,CH
1401CS16,Akshay,Akshay@mycollege.in,CS
1401CT16,Sunny,Sunny@mycollege.in,CT
1401EC16,Saket,Saket@mycollege.in,EC
1401MC15,Urmila,Urmila@mycollege.in,MC
1401MM15,Anshul,Anshul@mycollege.in,MM
1401MT15,Vasundhara,Vasundhara@mycollege.in,MT
1401AI17,Rishabh,Rishabh@mycollege.in,AI
1401CB17,Pallavi,Pallavi@mycollege.in,CB
1401CE17,Shambhavi,Shambhavi@mycollege.in,CE
1401CH17,Kushal,Kushal@mycollege.in,CH
1401CS17,Shekhar,Shekhar@mycollege.in,CS
1401CT17,Vineeta,Vineeta@mycollege.in,CT
1401EC17,Rishika,Rishika@mycollege.in,EC
1401MC16,Sudhakar,Sudhakar@mycollege.in,MC
1401MM16,Saanchi,Saanchi@mycollege.in,MM
1401MT16,Kandarp,Kandarp@mycollege.in,MT
1401AI18,Shruti,Shruti@mycollege.in,AI
1401CB18,Aniket,Aniket@mycollege.in,CB
1401CE18,Anshu,Anshu@mycollege.in,CE
1401CH18,Nitish,Nitish@mycollege.in,CH
1401CS18,Amisha,Amisha@mycollege.in,CS
1401CT18,Vibhanshu,Vibhanshu@mycollege.in,CT
1401EC18,Satvik,Satvik@mycollege.in,EC
1401MC17,Dhruva,Dhruva@mycollege.in,MC
1401MM17,Aadil,Aadil@mycollege.in,MM
1401MT17,Noopur,Noopur@mycollege.in,MT
1401AI19,Himanshu,Himanshu@mycollege.in,AI
1401CB19,Nikita,Nikita@mycollege.in,CB
1401CE19,Keshav,Keshav@mycollege.in,CE
1401CH19,Preeti,Preeti@mycollege.in,CH
1401CS19,Amrita,Amrita@mycollege.in,CS
1401CT19,Monti,Monti@mycollege.in,CT
1401EC19,Sanskar,Sanskar@mycollege.in,EC
1401MC18,Dhananjay,Dhananjay@mycollege.in,MC
1401MM18,Ali,Ali@mycollege.in,MM
1401MT18,Suchita,Suchita@mycollege.in,MT
1401AI20,Kajal,Kajal@mycollege.in,AI
1401CB20,Vijay,Vijay@mycollege.in,CB
1401CE20,Prince,Prince@mycollege.in,CE
1401CH20,Anand,Anand@mycollege.in,CH
1401CS20,Sekhar,Sekhar@mycollege.in,CS
1401CT20,Minakshi,Minakshi@mycollege.in,CT
1401EC20,Prateek,Prateek@mycollege.in,EC
1401MC19,Rama,Rama@mycollege.in,MC
1401MM19,Nishant,Nishant@mycollege.in,MM
1401MT19,Sumaiya,Sumaiya@mycollege.in,MT
1401AI21,Ankit,Ankit@mycollege.in,AI
1401CB21,Ananya,Ananya@mycollege.in,CB
1401CE21,Prakash,Prakash@mycollege.in,CE
1401CH21,Hemant,Hemant@mycollege.in,CH
1401CS21,Kundalik,Kundalik@mycollege.in,CS
1401CT21,Nitikarsh,Nitikarsh@mycollege.in,CT
1401EC21,Prarthana,Prarthana@mycollege.in,EC
1401MC20,Raj,Raj@mycollege.in,MC
1401MM20,Aaditya,Aaditya@mycollege.in,MM
1401MT20,Himanshi,Himanshi@mycollege.in,MT
1401AI22,Gaurav,Gaurav@mycollege.in,AI
1401CB22,Priyanshi,Priyanshi@mycollege.in,CB
1401CE22,Pratibha,Pratibha@mycollege.in,CE
1401CH22,Amol,Amol@mycollege.in,CH
1401CS22,Durga,Durga@mycollege.in,CS
1401CT22,Mugdha,Mugdha@mycollege.in,CT
1401EC22,Rekha,Rekha@mycollege.in,EC
1401MC21,Chinmay,Chinmay@mycollege.in,MC
1401MM21,Vipasha,Vipasha@mycollege.in,MM
1401MT21,Ibrahim,Ibrahim@mycollege.in,MT
1401AI23,Nikhil,Nikhil@mycollege.in,AI
1401CB23,Suraj,Suraj@mycollege.in,CB
1401CE23,Praveen,Praveen@mycollege.in,CE
1401CH23,Sonal,Sonal@mycollege.in,CH
1401CS23,Apurva,Apurva@mycollege.in,CS
1401CT23,Madhu,Madhu@mycollege.in,CT
1401EC23,Pratham,Pratham@mycollege.in,EC
1401MC22,Chahat,Chahat@mycollege.in,MC
1401MM22,Abbas,Abbas@mycollege.in,MM
1401MT22,Jagriti,Jagriti@mycollege.in,MT
1401AI24,Siddharth,Siddharth@mycollege.in,AI
1401CB24,Akshat,Akshat@mycollege.in,CB
1401CE24,Priyanshu,Priyanshu@mycollege.in,CE
1401CH24,Rishab,Rishab@mycollege.in,CH
1401CS24,Alka,Alka@mycollege.in,CS
1401CT24,Khanak,Khanak@mycollege.in,CT
1401EC24,Devanshu,Devanshu@mycollege.in,EC
