Roll,Name,Email,Branch
1401EC48,Durgesh,Durgesh@mycollege.in,EC
1401EC50,Rohith,Rohith@mycollege.in,EC
1401EC51,Jagadeesh,Jagadeesh@mycollege.in,EC
1401EC52,Indu,Indu@mycollege.in,EC
1401EC53,Shyam,Shyam@mycollege.in,EC
1401EC54,Shreyas,Shreyas@mycollege.in,EC
1401EC29,Bhavya,Bhavya@mycollege.in,EC
1401EC43,Hartesh,Hartesh@mycollege.in,EC
1401EC28,Deeksha,Deeksha@mycollege.in,EC
1401EC30,Dev,Dev@mycollege.in,EC
1401EC26,Dolly,Dolly@mycollege.in,EC
1401EC27,Dhruv,Dhruv@mycollege.in,EC
1401EC01,Sania,Sania@mycollege.in,EC
1401EC02,Sangeeta,Sangeeta@mycollege.in,EC
1401EC03,Nimish,Nimish@mycollege.in,EC
1401EC04,Nimesh,Nimesh@mycollege.in,EC
1401EC05,Prabhakar,Prabhakar@mycollege.in,EC
1401EC07,Neetika,Neetika@mycollege.in,EC
1401EC08,Monu,Monu@mycollege.in,EC
1401EC09,Pankhuri,Pankhuri@mycollege.in,EC
1401EC10,Nilesh,Nilesh@mycollege.in,EC
1401EC11,Mallika,Mallika@mycollege.in,EC
1401EC12,Mahima,Mahima@mycollege.in,EC
1401EC13,Mehak,Mehak@mycollege.in,EC
1401EC06,Nivedita,Nivedita@mycollege.in,EC
1401EC15,Prakhyat,Prakhyat@mycollege.in,EC
1401EC25,Devansh,Devansh@mycollege.in,EC
1401EC14,Manshi,Manshi@mycollege.in,EC
1401EC24,Devanshu,Devanshu@mycollege.in,EC
1401EC22,Rekha,Rekha@mycollege.in,EC
1401EC21,Prarthana,Prarthana@mycollege.in,EC
1401EC23,Pratham,Pratham@mycollege.in,EC
1401EC20,Prateek,Prateek@mycollege.in,EC
1401EC19,Sanskar,Sanskar@mycollege.in,EC
1401EC18,Satvik,Satvik@mycollege.in,EC
1401EC17,Rishika,Rishika@mycollege.in,EC
1401EC16,Saket,Saket@mycollege.in,EC
1401MC49,Lekhraj,Lekhraj@mycollege.in,MC
1401MC53,Santosh,Santosh@mycollege.in,MC
1401MC52,Kalpana,Kalpana@mycollege.in,MC
1401MC51,Seshikanth,Seshikanth@mycollege.in,MC
1401MC50,Sahil,Sahil@mycollege.in,MC
1401MC54,Kapil,Kapil@mycollege.in,MC
1401MC48,Love,Love@mycollege.in,MC
1401MC43,Mrityunjay,Mrityunjay@mycollege.in,MC
1401MC46,Sabareesh,Sabareesh@mycollege.in,MC
1401MC45,Monica,Monica@mycollege.in,MC
1401MC44,Kavish,Kavish@mycollege.in,MC
